2020-08-07 23:55:05,694; Fusion360CommandBase; DEBUG; 393; notify ; CommandCreatedEventHandler.notify
2020-08-07 23:55:05,700; Fusion360CommandBase; DEBUG; 351; __init__ ; CommandExecuteHandler
2020-08-07 23:55:05,712; Fusion360CommandBase; DEBUG; 331; __init__ ; InputChangedHandler
2020-08-07 23:55:05,748; Fusion360CommandBase; DEBUG; 305; __init__ ; DestroyHandler
2020-08-07 23:55:05,760; Fusion360CommandBase; DEBUG; 288; __init__ ; ExecutePreviewHandler
2020-08-07 23:55:05,773; Fusion360CommandBase; DEBUG; 371; __init__ ; MouseClickHandler
2020-08-07 23:55:05,791; Fusion360CommandBase; DEBUG; 422; notify ; ***Debug ***Panel command created successfully
2020-08-07 23:55:06,782; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:55:06,788; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:55:06,806; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_plane was the command
2020-08-07 23:55:06,818; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:55:06,825; NesterCommand; DEBUG; 255; addStock ; Nester.NestFaces.addStock
2020-08-07 23:55:06,831; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:55:06,861; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:55:06,885; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:55:06,897; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:55:06,933; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:55:06,957; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:55:06,963; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_plane was the command
2020-08-07 23:55:06,968; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:55:11,112; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:55:11,118; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:55:11,130; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:55:11,142; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:55:11,154; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:55:11,160; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:55:11,178; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:55:11,220; Fusion360CommandBase; DEBUG; 374; notify ; MouseClickHandler.notify
2020-08-07 23:55:11,226; Fusion360CommandBase; DEBUG; 381; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:55:11,232; NesterCommand; DEBUG; 596; onMouseClick ; NesterCommand.onMouseClick
2020-08-07 23:55:11,250; Fusion360CommandBase; DEBUG; 334; notify ; InputChangedHandler.init
2020-08-07 23:55:11,268; Fusion360CommandBase; DEBUG; 341; notify ; ***Debug ***Input: cmdID_Nester changed event triggered
2020-08-07 23:55:11,280; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:55:11,304; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:55:13,252; Fusion360CommandBase; DEBUG; 309; notify ; DestroyHandler.notify
2020-08-07 23:55:13,264; Fusion360CommandBase; DEBUG; 321; notify ; ***Debug ***Command: cmdID_Nester destroyed
2020-08-07 23:55:13,276; Fusion360CommandBase; DEBUG; 322; notify ; ***Debug ***Reason for termination= 2
2020-08-07 23:55:13,294; NesterCommand; DEBUG; 532; onDestroy ; Nester.NesterCommend.onDestroy
